date,close,high,low,open,volume,tic,day
2020-01-01,410.8916931152344,413.44199372528277,407.60573059464275,410.00890480941445,175938,AARTIIND.NS,2
2020-01-01,101.5,103.4000015258789,101.19999694824219,103.19999694824219,982667,ABCAPITAL.NS,2
2020-01-01,230.75405883789062,233.4647674560547,226.8605194091797,229.5712127685547,244499,ABFRL.NS,2
2020-01-01,1357.224609375,1373.1520654007327,1355.4339282161243,1368.9110329406756,321092,ACC.NS,2
2020-01-01,322.2799987792969,324.20001220703125,315.2300109863281,316.0,496280,AFFLE.NS,2
2020-01-01,1662.27099609375,1667.7586932867841,1627.3231782095688,1650.4291868251205,14405,AKZOINDIA.NS,2
2020-01-01,1959.811767578125,1975.948589168847,1888.3482246875674,1894.9347199847969,94927,ALKEM.NS,2
2020-01-01,3.049999952316284,3.1500000953674316,2.9000000953674316,3.0999999046325684,1271618,ALOKINDS.NS,2
2020-01-01,1147.8890380859375,1166.0634830132055,1115.5843992364853,1118.4303807361896,30349,AMBER.NS,2
2020-01-01,14.433158874511719,14.66159660569812,13.955514633752687,14.121651679099037,964794,ANANTRAJ.NS,2
2020-01-01,148.79408264160156,150.25150021785302,148.47526516290145,149.84160195887907,642850,APOLLOTYRE.NS,2
2020-01-01,293.9650573730469,301.2561995265728,290.7982165945958,290.7982165945958,40808,ARVINDFASN.NS,2
2020-01-01,103.0999984741211,104.69999694824219,102.05000305175781,102.69999694824219,412580,ASHOKA.NS,2
2020-01-01,36.76102828979492,37.16922939829059,36.647638324015645,37.16922939829059,15595486,ASHOKLEY.NS,2
2020-01-01,123.41703033447266,129.6751158867625,121.89991868543268,121.89991868543268,446861,ASTERDM.NS,2
2020-01-01,649.4288330078125,655.9128596577807,643.3901313880385,654.2431625551484,21393,ASTRAL.NS,2
2020-01-01,254.8000030517578,256.0,247.8000030517578,248.0500030517578,24491,ATULAUTO.NS,2
2020-01-01,396.8652648925781,402.91001650473345,394.02944087375226,399.99958391729393,179442,AUBANK.NS,2
2020-01-01,441.189697265625,446.39035572596964,439.9858397798484,442.63432624855693,1081955,AUROPHARMA.NS,2
